latitude,longitude,displacement (mm),coherence,elevation (m)
13.542,40.641,7.60,0.85,255.22
13.542,40.645,6.48,0.87,261.89
13.542,40.649,5.45,0.81,266.84
13.542,40.653,4.28,0.82,272.33
13.542,40.657,3.48,0.79,277.66
13.542,40.661,3.20,0.80,284.11
13.542,40.665,3.51,0.83,288.50
13.542,40.669,3.79,0.84,293.30
13.542,40.673,4.05,0.84,295.93
13.542,40.677,4.26,0.86,309.59
13.542,40.681,4.08,0.87,314.93
13.542,40.685,3.35,0.86,322.81
13.542,40.689,2.51,0.84,337.74
13.542,40.693,2.09,0.85,354.04
13.542,40.697,2.13,0.86,358.92
13.542,40.701,2.55,0.85,337.89
13.542,40.705,3.46,0.86,327.87
13.542,40.709,4.65,0.85,323.26
13.542,40.713,5.52,0.78,328.97
13.542,40.717,6.24,0.87,323.91
13.542,40.721,6.69,0.92,308.39
13.542,40.725,7.04,0.91,294.18
13.542,40.729,7.54,0.91,285.49
13.542,40.733,8.23,0.91,279.64
13.542,40.737,9.06,0.92,258.50
13.542,40.741,10.23,0.92,248.21
13.542,40.745,11.22,0.91,229.92
13.542,40.749,11.79,0.91,224.39
13.542,40.753,11.96,0.89,210.90
13.542,40.757,12.30,0.90,201.59
13.542,40.761,13.14,0.89,172.15
13.542,40.765,14.28,0.89,138.61
13.542,40.769,15.40,0.89,104.39
13.545,40.569,5.56,0.84,73.25
13.545,40.573,3.17,0.85,97.31
13.545,40.577,0.97,0.85,125.11
13.545,40.581,-0.23,0.80,147.19
13.545,40.585,-0.88,0.84,173.58
13.545,40.589,-1.46,0.86,195.72
13.545,40.593,-1.79,0.84,208.12
13.545,40.597,-2.53,0.84,227.33
13.545,40.601,-3.49,0.83,261.11
13.545,40.605,-4.91,0.82,276.86
13.545,40.609,-5.62,0.86,303.83
13.545,40.613,-5.71,0.86,316.14
13.545,40.617,-4.88,0.86,302.13
13.545,40.621,-3.35,0.83,347.04
13.545,40.625,-1.40,0.87,283.78
13.545,40.629,0.56,0.80,263.26
13.545,40.633,2.96,0.45,251.41
13.545,40.637,4.68,0.70,251.05
13.545,40.641,5.45,0.83,259.33
13.545,40.645,4.79,0.82,262.84
13.545,40.649,3.84,0.81,266.67
13.545,40.653,2.61,0.82,271.91
13.545,40.657,1.91,0.82,277.22
13.545,40.661,1.71,0.84,281.37
13.545,40.665,1.82,0.87,287.12
13.545,40.669,2.09,0.88,297.03
13.545,40.673,2.66,0.88,302.44
13.545,40.677,3.37,0.87,305.20
13.545,40.681,3.62,0.85,316.05
13.545,40.685,2.93,0.88,326.08
13.545,40.689,1.79,0.88,350.07
13.545,40.693,1.16,0.87,362.66
13.545,40.697,1.22,0.87,364.52
13.545,40.701,1.51,0.87,342.01
13.545,40.705,2.72,0.88,320.72
13.545,40.709,4.07,0.86,320.99
13.545,40.713,5.29,0.84,315.19
13.545,40.717,6.30,0.87,308.08
13.545,40.721,6.91,0.87,303.32
13.545,40.725,7.38,0.87,297.56
13.545,40.729,7.96,0.89,290.82
13.545,40.733,8.84,0.91,276.19
13.545,40.737,10.30,0.91,260.10
13.545,40.741,11.64,0.92,250.45
13.545,40.745,12.42,0.91,234.17
13.545,40.749,12.63,0.91,219.61
13.545,40.753,12.59,0.90,210.01
13.545,40.757,12.95,0.91,204.78
13.545,40.761,13.83,0.89,167.01
13.545,40.765,14.85,0.89,140.43
13.545,40.769,15.97,0.89,94.09
13.550,40.569,4.37,0.81,81.20
13.550,40.573,1.62,0.82,101.01
13.550,40.577,-0.93,0.82,119.95
13.550,40.581,-2.40,0.80,138.52
13.550,40.585,-3.23,0.78,154.17
13.550,40.589,-4.11,0.81,164.79
13.550,40.593,-5.02,0.83,184.00
13.550,40.597,-6.19,0.83,199.86
13.550,40.601,-8.06,0.85,231.89
13.550,40.605,-9.97,0.83,239.15
13.550,40.609,-11.42,0.87,271.52
13.550,40.613,-11.91,0.88,279.27
13.550,40.617,-11.49,0.89,278.08
13.550,40.621,-9.66,0.87,258.64
13.550,40.625,-6.89,0.88,257.17
13.550,40.629,-3.98,0.86,260.21
13.550,40.633,-1.55,0.66,246.44
13.550,40.637,0.73,0.80,252.26
13.550,40.641,1.98,0.83,253.67
13.550,40.645,1.93,0.82,263.91
13.550,40.649,NaN,0.81,266.72
13.550,40.653,NaN,0.81,274.01
13.550,40.657,-0.55,0.81,280.68
13.550,40.661,-0.72,0.87,283.34
13.550,40.665,-0.73,0.87,292.49
13.550,40.669,-0.22,0.89,306.26
13.550,40.673,1.00,0.88,315.54
13.550,40.677,2.63,0.89,318.81
13.550,40.681,3.70,0.87,321.41
13.550,40.685,3.42,0.88,341.15
13.550,40.689,2.28,0.88,374.85
13.550,40.693,1.54,0.87,378.61
13.550,40.697,1.52,0.89,366.65
13.550,40.701,1.93,0.90,337.62
13.550,40.705,3.04,0.89,316.78
13.550,40.709,4.45,0.89,310.79
13.550,40.713,5.54,0.88,304.58
13.550,40.717,6.49,0.85,299.41
13.550,40.721,6.98,0.88,295.78
13.550,40.725,7.34,0.89,288.93
13.550,40.729,7.91,0.90,283.22
13.550,40.733,9.02,0.91,275.80
13.550,40.737,10.67,0.91,264.55
13.550,40.741,12.14,0.91,241.59
13.550,40.745,13.01,0.92,231.52
13.550,40.749,13.30,0.91,225.78
13.550,40.753,13.68,0.91,223.12
13.550,40.757,14.33,0.90,203.01
13.550,40.761,15.19,0.90,175.02
13.550,40.765,16.04,0.90,137.48
13.550,40.769,17.05,0.90,100.03
13.554,40.569,2.20,0.83,87.53
13.554,40.573,-0.16,0.84,102.29
13.554,40.577,-2.47,0.81,115.69
13.554,40.581,-3.97,0.77,133.16
13.554,40.585,-5.20,0.74,155.86
13.554,40.589,-5.88,0.68,169.72
13.554,40.593,-6.80,0.73,179.13
13.554,40.597,-8.31,0.79,188.66
13.554,40.601,-10.47,0.77,214.73
13.554,40.605,-12.40,0.76,237.95
13.554,40.609,-14.39,0.87,250.54
13.554,40.613,-15.39,0.89,258.74
13.554,40.617,-15.09,0.90,253.26
